Date_Quarter,AFGHANISTAN,ALBANIA,ALGERIA,ANGOLA,ANTIGUA-BARBUDA,ARGENTINA,ARMENIA,AUSTRALIA,AUSTRIA,AUSTRIA.1,AZERBAIJAN,AZERBAIJAN.1,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELARUS.1,BELGIUM,BELGIUM.1,BELIZE,BENIN,BERMUDA,BOLIVIA,BOSNIA-HERCEGOVINA,BOTSWANA,BRAZIL,BRUNEI,BULGARIA,BURKINA FASO,BURMA-MYANMAR,BURUNDI,CAMBODIA (KHMER),CAMEROON,CANADA,CAPE VERDE,CAYMAN ISLANDS,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA,COLOMBIA,COMOROS,CONGO,"CONGO, DEM. REP",COSTA RICA,COTE D'IVOIRE,CROATIA,CUBA,CYPRUS,CYPRUS.1,CZECH,DENMARK,DJIBOUTI,DOMINICAN REPUBLIC,ECUADOR,ECUADOR.1,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ESTONIA.1,ETHIOPIA,EURO ZONE,FIJI,FINLAND,FINLAND.1,FRANCE,FRANCE.1,GABON,GAMBIA,GEORGIA,GERMANY FRG,GERMANY FRG.1,GHANA,GREECE,GREECE.1,GRENADA,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG,HUNGARY,ICELAND,INDIA,INDONESIA,IRAN,IRAQ,IRELAND,IRELAND.1,ISRAEL,ITALY,ITALY.1,IVORY COAST,JAMAICA,JAPAN,JERUSALEM,JORDAN,KAZAKHSTAN,KENYA,KOREA,KUWAIT,KYRGYZSTAN,LAOS,LATVIA,LATVIA.1,LEBANON,LESOTHO,LIBERIA,LIBYA,LITHUANIA,LITHUANIA.1,LUXEMBOURG,LUXEMBOURG.1,MACAO,MACEDONIA FYROM,MADAGASCAR,MADAGASCAR.1,MALAWI,MALAYSIA,MALI,MALTA,MALTA.1,MARSHALLS ISLANDS,MARTINIQUE,MARTINIQUE.1,MAURITANIA,MAURITIUS,MEXICO,MICRONESIA,MOLDOVA,MONGOLIA,MONTENEGRO,MOROCCO,MOZAMBIQUE,MOZAMBIQUE.1,NAMIBIA,NEPAL,NETHERLANDS,NETHERLANDS.1,NETHERLANDS ANTILLES,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NORWAY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,POLAND,PORTUGAL,PORTUGAL.1,QATAR,REPUBLIC OF PALAU,ROMANIA,ROMANIA.1,RUSSIA,RWANDA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAK REPUBLIC,SLOVAK REPUBLIC.1,SLOVENIA,SLOVENIA.1,SOLOMON ISLANDS,SOUTH AFRICA,SOUTH SUDANESE,SOVIET UNION,SPAIN,SPAIN.1,SRI LANKA,ST LUCIA,SUDAN,SURINAME,SWAZILAND,SWEDEN,SWITZERLAND,SYRIA,TAIWAN,TAJIKISTAN,TAJIKISTAN.1,TANZANIA,THAILAND,TIMOR LESTE,TOGO,TONGA,TRINIDAD & TOBAGO,TUNISIA,TURKEY,TURKEY.1,TURKMENISTAN,TURKMENISTAN.1,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIETNAM,WESTERN SAMOA,YEMEN,YUGOSLAVIA,ZAMBIA,ZAMBIA.1,ZIMBABWE
2001-01-01,78400.0,142.4,76.539,19.706,2.7,1.0,550.0,1.903,1.083,14.908,4600.0,1.2978,1.0,0.377,54.0,2.0,1230.0,17.597,1.083,43.705,2.0,710.53,1.0,6.438,2.119,5.376,2.043,1.741,2.114,710.53,350.0,780.588,3910.0,710.53,1.532,121.203,25.9128,710.53,710.53,574.04,8.266,2262.8,532.898,710.53,50.0,321.01,710.53,8.456,1.0,16.8664,0.627,36.631,8.084,176.95,16.588,1.0,25000.0,3.88,8.75,710.53,10.2,16.8664,16.949,8.37,1.083,2.205,1.083,6.442,1.083,7.105,710.53,15.0,2.08,1.083,2.119,7095.0,1.083,369.1,2.7,7.705,1900.0,710.53,180.0,23.54,15.02,7.8,288.55,86.23,46.5,9440.0,5396.0,1090.3376,1.083,0.853,4.108,1.083,2097.3501,710.53,45.3,117.32,19.034,0.708,146.7,78.0,1253.1,0.307,49.3,8197.0,16.8664,0.619,1501.0,7.677,41.0,1.8488,16.8664,3.998,1.083,43.705,20.886,65.52,1530.53002,6460.0,79.75,3.8,710.53,16.8664,0.444,1.0,1.083,7.105,239.38,27.92,9.68,1.0,12.85,1098.0,1.083,10.695,18025.0,31.7982,7.681,73.7,1.083,2.387,1.78,2.324,12.9,710.53,113.0,8.911,0.385,59.25,2.55,1.0,3.106,3735.0,3.52,48.2,4.038,1.083,217.16,3.64,1.0,27056.0,3.7992,15717.312,433.49,7314.6001,3.75,710.53,98.37839999999998,5.733,1950.0,1.744,47.41,16.8664,1.083,233.1,5.045,7.677,18.2374,28.661,1.083,180.27,86.0,2.7,257.0,2320.0,7.677,9.79,1.668,46.0,32.3,2.4,72.36120000000001,819.0,43.08,2.55,710.53,1.98,6.24,1.378,930000.0,1.9524,5250.0,3.3912,1680.0,5.57,3.672,0.692,12.6,793.5,142.45,704.0,14562.0,3.28,165.0,64.8,3520.0,21.5252,80.0
2001-05-01,73000.0,149.0,78.101,19.706,2.7,1.0,554.68,1.979,1.181,16.256,4600.0,1.4152,1.0,0.377,57.0,2.0,1365.0,25.197,1.181,47.655,2.0,774.9,1.0,6.54,2.31,5.627,2.36,1.807,2.3,774.9,400.0,822.749,3910.0,774.9,1.541,128.353,34.205600000000004,774.9,774.9,610.8,8.265,2324.5,581.175,774.9,349.305,325.96,774.9,8.504,2.55,1.181,0.681,39.149,8.81,176.95,16.99,1.0,25000.0,3.886,8.75,774.9,10.2,24.5448,18.488,8.44,1.181,2.205,1.181,7.024,1.181,7.749,774.9,16.0,2.07,1.181,2.31,7100.0,1.181,402.54,2.7,7.705,1945.0,774.9,180.0,23.75,15.38,7.8,299.28,104.72,46.8,11240.0,5832.2,1075.4998,1.181,0.93,4.133,1.181,2287.3799,774.9,45.5,119.01,26.638800000000003,0.708,146.8,77.85,1280.0,0.308,49.4,8510.0,24.5448,0.634,1513.75,7.995,43.0,1.9166,24.5448,3.999,1.181,47.655,28.487199999999994,70.92,1567.27598,6706.0,75.25,3.8,774.9,1.181,0.466,1.0,1.181,7.749,239.38,28.65,9.14,1.0,12.835,1095.0,1.181,11.803,20270.0,33.8212,7.995,74.45,1.181,2.603,1.78,2.447,13.1,774.9,112.8,9.364,0.385,61.5,24.4,1.0,3.29,3850.0,3.63,50.4,3.98,1.181,236.84,3.639,1.0,28770.0,3.809600000000001,14638.893999999997,439.75,7314.6001,3.75,774.9,100.9288,5.733,1950.0,1.809,50.7,1.181,1.181,266.79,5.045,7.995,25.826600000000003,29.146,1.181,196.56,91.65,2.7,257.0,2235.0,7.995,10.772,1.796,46.0,33.85,2.4,80.1158,666.0,46.37,24.4,774.9,1.98,6.18,1.497,1155000.0,2.0124000000000004,5250.0,3.4018,1765.0,5.5,3.672,0.705,13.06,793.5,145.89,714.0,14659.0,3.28,168.0,63.3102,3420.0,29.4134,118.0
2001-09-01,71500.0,142.0,76.429,20.389,2.7,1.0,557.0,1.894,1.1,15.14,4650.0,1.2982,1.0,0.377,57.0,2.0,1450.0,53.59839999999999,1.1,44.383,2.0,721.7,1.0,6.7,2.152,5.724,2.552,1.737,2.146,721.7,450.0,833.024,3910.0,721.7,1.549,120.486,61.9832,721.7,721.7,662.2,8.264,2296.2,541.275,721.7,294.0,331.87,721.7,8.337,2.55,1.1,0.63,36.611,8.191,176.95,16.85,1.0,25000.0,4.25,8.75,721.7,10.2,52.88000000000001,17.218,8.5,1.1,2.212,1.1,6.542,1.1,7.217,721.7,17.0,2.065,1.1,2.152,7050.0,1.1,374.9,2.7,7.85,1972.0,721.7,183.0,24.2,15.52,7.8,279.02,98.7,47.0,8840.0,5290.8,1121.5048,1.1,0.866,4.26,1.1,2130.3401,721.7,45.6,118.82,55.06440000000001,0.705,147.7,78.8,1274.0,0.305,47.5,9135.0,52.88000000000001,0.62,1513.5,8.434,49.0,1.84,52.88000000000001,3.998,1.1,44.383,56.98900000000001,69.5,1580.90802,6264.0,64.42,3.8,721.7,1.1,0.447,1.0,1.1,7.217,254.35,29.4,9.2,1.0,11.776,1099.0,1.1,11.29,21740.0,32.9172,8.434,74.7,1.1,2.425,1.78,2.28,13.58,721.7,112.26,8.863,0.385,63.0,1.0,1.0,3.436,4320.0,3.48,50.9,4.237,1.1,220.58,3.641,1.0,30035.0,3.8312,14338.419999999998,441.33,7314.6001,3.749,721.7,99.261,5.733,2075.0,1.74,47.739,1.1,1.1,241.39,5.045,8.434,54.1956,29.42,1.1,183.06,89.75,2.7,257.0,2200.0,8.434,10.45,1.669,46.0,34.48,2.4,108.3584,888.0,44.03,1.0,721.7,2.149,6.09,1.427,1365000.0,2.001,5250.0,3.423,1740.0,5.36,3.672,0.689,13.47,850.0,145.89,736.0,14991.0,3.344,170.0,65.533,3570.0,57.7216,260.0
2001-12-01,38200.0,136.3,78.078,30.044,2.7,1.0,565.0,1.955,1.122,15.442,4750.0,1.3202,1.0,0.376,57.0,2.0,1565.0,70.613,1.122,45.27,2.0,736.12,1.0,6.83,2.195,6.964,2.309,1.849,2.184,736.12,450.0,851.05,3905.0,736.12,1.592,123.556,79.0438,736.12,736.12,661.0,8.265,2275.0,552.09,736.12,314.0,341.3,736.12,8.308,2.55,1.122,0.645,36.442,8.344,176.95,17.02,1.0,25000.0,4.56,8.75,736.12,13.55,69.89760000000001,17.561,8.56,1.122,2.285,1.122,6.672,1.122,7.361,736.12,18.0,2.07,1.122,2.195,7100.0,1.122,382.39,2.7,8.005,1974.0,736.12,188.0,26.75,15.854,7.797,274.24,102.81,47.9,10060.0,5599.0,1136.36,1.122,0.884,4.407,1.122,2172.9,736.12,47.25,131.31,72.0936,0.708,151.6,78.45,1303.5,0.307,48.1,9510.0,69.89760000000001,0.629,1513.25,11.99,49.0,1.9284000000000003,69.89760000000001,3.995,1.122,45.27,74.0814,65.5,1585.98,6370.0,66.26,3.8,736.12,1.122,0.452,1.0,1.122,7.361,254.35,30.1,9.14,1.0,12.862,1102.0,1.122,11.532,23090.0,33.822,11.99,76.15,1.122,2.473,1.78,2.4,13.78,736.12,119.0,8.972,0.385,58.0,1.0,1.0,3.854,4600.0,3.44,51.45,3.96,1.122,224.98,3.638,1.0,31740.0,3.7666,7678.359999999999,457.67,8961.769,3.75,736.12,100.4248,5.733,2375.0,1.846,48.0,1.122,1.122,237.27,5.045,11.99,71.1748,30.47,1.122,186.72,92.85,2.7,260.0,2210.0,11.99,10.446,1.658,46.0,34.9,2.55,125.9834,912.0,44.21,1.0,736.12,2.196,6.115,1.459,1450000.0,2.041,5250.0,3.3589999999999995,1680.0,5.25,3.673,0.688,13.9,890.0,145.89,757.0,15081.0,3.496,173.0,65.533,3735.0,74.80460000000001,345.0
2002-01-01,35000.0,139.81,78.319,34.32,2.7,2.08,566.0,1.935,1.153,15.864,4800.0,1.3510000000000002,1.0,0.377,58.0,2.0,1668.0,67.61339999999998,1.153,46.507,2.0,756.23,1.0,6.923,2.255,6.716,2.36,1.832,2.246,756.23,450.0,853.353,3895.0,756.23,1.604,127.182,76.06179999999999,756.23,756.23,679.7,8.265,2303.0,567.172,756.23,339.0,347.05,756.23,8.569,2.55,1.153,0.662,36.024,8.569,176.95,17.5,1.0,25000.0,4.62,8.75,756.23,13.55,66.92240000000001,18.04,8.56,1.153,2.287,1.153,6.855,1.153,7.562,756.23,19.0,2.22,1.153,2.255,7450.0,1.153,392.84,2.7,8.007,1975.0,756.23,188.0,26.5,16.06,7.799,282.95,100.47,48.55,10160.0,5722.0,1149.1806,1.153,0.908,4.67,1.153,2232.27,756.23,47.3,133.84,69.14680000000001,0.708,152.3,77.9,1313.8,0.308,48.4,9465.0,66.92240000000001,0.641,1513.75,11.337,49.0,1.9136,66.92240000000001,3.98,1.153,46.507,71.0942,68.5,1639.254,6732.0,71.65,3.8,756.23,1.153,0.46,1.0,1.153,7.562,276.96,30.1,9.12,1.0,12.862,1104.0,1.153,11.699,23250.0,34.6142,11.337,77.35,1.153,2.541,1.78,2.366,13.86,756.23,117.3,8.902,0.385,58.0,1.0,1.0,3.578,4920.0,3.47,51.15,4.223,1.153,231.13,3.641,1.0,32566.0,3.8228,7038.910000000001,459.74,9015.2881,3.75,756.23,101.3282,5.733,2130.0,1.831,48.034,1.153,1.153,257.24,5.045,11.337,68.3962,30.957,1.153,191.82,93.45,2.7,260.0,2255.0,11.337,10.456,1.701,46.0,35.01,2.7,123.0806,961.0,43.68,1.0,756.23,2.19,6.11,1.488,1393000.0,2.088,5250.0,3.4146,1740.0,5.28,3.673,0.707,14.12,960.0,145.89,1015.0,15139.0,3.484,173.0,66.796,4300.0,71.80460000000001,330.0
2002-05-01,36807.0,143.8,80.207,40.236,2.7,3.55,584.0,1.766,1.073,16.84,4850.0,1.0584,1.0,0.377,58.0,2.0,1770.0,95.6208,1.073,34.789,2.2,703.42,1.0,7.082,2.076,6.01,2.519,1.783,2.094,703.42,450.0,852.727,3895.0,703.42,1.528,121.296,103.7956,703.42,703.42,655.65,8.265,2318.5,557.152,703.42,319.6,356.24,703.42,7.89,1.0,94.8584,0.62,31.818,7.974,176.95,17.9,1.0,18129.4,4.58,1.8184,703.42,13.55,94.8584,16.79,8.56,1.073,2.124,1.073,4.74,1.073,7.2004,703.42,19.0,2.22,1.073,2.0286,7650.0,1.073,228.286,2.7,7.85,1975.0,703.42,188.0,27.15,16.34,7.8,259.71,91.62,48.8,8820.0,5530.0,1125.6554,1.073,0.9998,4.917,1.073,1399.51,703.42,48.15,124.32,97.196,0.707,153.4,78.28,1209.3,0.304,48.4,9545.0,94.8584,0.621,1513.25,9.768,49.0,1.7896,94.8584,3.705,1.073,44.063,99.055,66.0,1508.7,6960.0,74.81,3.8,703.42,94.8584,0.44,1.0,1.073,5.129,276.96,30.0,9.62,1.0,13.56,1103.0,1.073,11.019,23535.0,31.3204,9.768,78.05,1.073,1.6044,1.78,2.083,14.17,703.42,114.2,8.018,0.385,58.0,94.8,1.0,3.759,5140.0,3.46,50.1,4.016,1.073,166.456,3.64,1.0,33500.0,3.7242,7399.73,467.27,8996.4482,3.75,703.42,98.7366,5.618,2050.0,1.788,46.845,94.8584,1.073,241.76,5.045,9.768,96.6452,31.332,1.073,135.7332,96.0,2.7,260.0,2375.0,9.768,9.764,1.572,46.0,33.95,2.82,150.82580000000002,950.0,42.32,94.8,703.42,2.138,6.11,1.437,1436300.0,1.9398,5250.0,3.3162,1792.0,5.35,3.673,0.684,16.6,1380.0,135.85,1116.0,15247.0,3.266,175.0,66.796,4275.0,99.4814,470.0
2002-09-01,38600.0,139.4,79.969,46.178,2.7,3.62,560.0,1.816,1.02,17.145400000000002,4900.0,1.016,1.0,0.377,58.0,2.02,1843.0,137.6248,1.02,33.926,2.2,668.64,1.0,7.294,1.982,6.23,3.0,1.748,1.988,668.64,450.0,1050.229,3910.0,668.64,1.558,113.703,145.2412,668.64,668.64,709.7,8.265,2704.0,557.152,668.64,340.0,365.54,668.64,7.44,1.0,136.81599999999997,0.584,30.358,7.576,176.95,17.9,1.0,18303.0,4.58,1.7884,668.64,13.65,136.81599999999997,15.957,8.57,1.02,2.124,1.02,4.724600000000001,1.02,6.9674000000000005,668.64,21.0,2.195,1.02,2.0092000000000003,7975.0,1.02,224.532,2.7,7.79,1976.0,668.64,188.0,28.0,16.52,7.8,249.75,88.18,48.38,8870.0,5498.6,1166.8258,1.02,0.956,4.658,1.02,1332.98,668.64,48.7,118.67,139.1442,0.7,154.6,78.75,1191.9,0.302,46.2,10440.0,136.81599999999997,0.601,1512.0,10.508,49.0,1.8016,136.81599999999997,3.621,1.02,43.024,141.04299999999998,63.35,1525.8,6630.0,80.71,3.8,668.64,136.81599999999997,0.422,1.0,1.02,5.113600000000001,276.96,29.35,9.92,1.0,13.68,1116.0,1.02,10.617,23680.0,31.6624,10.508,78.05,1.02,1.6064,1.78,2.136,14.35,668.64,127.0,7.541,0.385,58.0,136.8,1.0,3.937,6180.0,3.62,51.77,4.128,1.02,163.67399999999998,3.64,1.0,33200.0,3.7618,7757.864,482.75,9120.8193,3.75,668.64,97.3344,5.618,2120.0,1.75,44.18,136.81599999999997,1.02,231.95,5.045,10.508,138.6308,31.602,1.02,132.5146,96.05,2.7,260.0,3015.0,10.508,9.397,1.502,46.0,34.14,2.92,192.6562,964.0,42.22,136.8,668.64,2.222,6.05,1.384,1620000.0,1.941,5250.0,3.3538,1795.0,5.312,3.673,0.646,28.0,1050.0,136.2,1410.0,15325.0,3.29,176.0,66.796,4450.0,141.31260000000003,680.0
2002-12-01,39000.0,132.88,81.045,53.307,2.7,3.35,590.0,1.775,0.955,18.17,4900.0,0.964,1.0,0.377,58.0,2.02,1920.0,322.6084,0.955,32.91459999999999,2.2,628.89,1.0,7.494,1.866,5.444,3.535,1.736,1.874,628.89,450.0,1050.75,3910.0,628.89,1.579,106.47,329.3058,628.89,628.89,720.0,8.265,2854.5,557.152,628.89,372.5,378.33,628.89,7.11,1.0,0.9549999999999998,0.547,29.567,7.096,176.95,20.45,1.0,18435.8,4.615,1.0,628.89,13.55,321.764,14.948,8.58,0.955,2.042,0.955,4.5848,0.955,6.5306,628.89,24.0,2.11,0.955,1.8928,8250.0,0.955,218.99,2.7,7.63,1976.0,628.89,194.0,36.0,16.882,7.798,225.27,80.88,47.84,8820.0,5478.0,1166.71,0.955,0.9056,4.745,0.955,1334.56,628.89,49.85,118.77,324.1616,0.708,156.2,77.4,1185.8,0.3,46.2,10750.0,321.76399999999995,0.586,1501.0,8.555,49.0,1.7464,321.76399999999995,3.298,0.955,42.2732,326.0176,59.2,1562.1,6500.0,85.72,3.8,628.89,0.9549999999999998,0.401,1.0,0.9549999999999998,4.9738,276.96,28.95,10.46,1.0,13.85,1126.0,0.9549999999999998,10.155,23723.0,32.495999999999995,8.555,77.8,0.955,1.5204,1.78,1.907,14.57,628.89,124.85,6.953,0.385,58.0,321.8,1.0,3.937,7050.0,3.52,53.38,3.833,0.955,160.89600000000002,3.64,1.0,33490.0,3.6182,7838.956,510.87,9111.6182,3.75,628.89,95.11100000000002,5.618,2190.0,1.735,39.626,0.9549999999999998,0.9549999999999998,219.72,5.045,8.555,323.5092,31.83,0.955,129.43200000000002,96.45,2.7,260.0,2750.0,8.555,8.748,1.386,51.5,34.6,3.6426,377.4942,970.0,43.1,321.8,628.89,2.217,6.05,1.338,1655000.0,1.8974,5250.0,3.2101999999999995,1830.0,5.312,3.673,0.621,26.9,1030.0,132.84,1397.0,15396.0,3.165,179.0,59.29,4500.0,326.0722,1605.0
2003-01-01,40.3,129.86,80.86,62.552,2.7,3.19,590.0,1.646,0.926,18.5396,4900.0,0.9466,1.0,0.377,58.0,2.02,1967.0,285.59180000000003,0.926,32.25020000000001,2.2,607.57,1.0,7.564,1.817,5.464,3.557,1.738,1.809,607.57,450.0,1060.4,3930.0,607.57,1.492,100.967,292.1248,607.57,607.57,749.85,8.265,2957.5,557.152,607.57,422.5,385.05,607.57,7.05,1.0,284.7466,0.537,28.888,6.878,176.95,22.5,1.0,18315.4,5.56,1.0,607.57,13.55,284.7466,14.458,8.58,0.926,1.959,0.926,4.6044,0.926,6.5176,607.57,24.0,2.18,0.926,1.8038,8525.0,0.926,218.544,2.7,7.86,1975.0,607.57,194.0,41.0,17.0,7.798,225.09,77.7,47.52,8845.0,5442.4,1181.6,0.926,0.8880000000000001,4.813,0.926,1345.12,607.57,54.0,118.08,287.1752,0.707,154.0,76.45,1193.6,0.3,46.1,10660.0,284.7407999999999,0.578,1501.0,8.125,49.0,1.6805999999999996,284.7407999999999,3.197,0.926,41.969800000000006,289.2526,56.7,1603.1,6250.0,90.088,3.8,607.57,284.7466,0.393,1.0,0.9318,4.993399999999999,276.96,27.33,11.05,1.0,14.27,1126.0,0.9318,9.87,23726.0,32.0788,8.125,77.8,0.926,1.4414,1.78,1.788,14.74,607.57,127.8,7.146,0.385,58.0,284.8,1.0,3.584,6850.0,3.48,54.45,3.908,0.955,158.14,3.64,1.0,32920.0,3.605,47.71,510.87,9053.4395,3.75,607.57,92.6154,5.618,2200.0,1.739,38.739,284.7466,0.9318,214.67,5.045,8.125,286.45739999999995,31.574,0.926,125.9814,96.86,2.7,260.0,2750.0,8.125,8.466,1.355,51.5,34.72,3.1,340.43860000000006,1027.0,42.77,284.8,607.57,2.16,6.05,1.316,1595000.0,1.879,5250.0,3.197,1905.0,5.322,3.673,0.634,28.25,1000.0,127.0,1600.0,15426.0,3.049,182.0,57.71,4950.0,289.24339999999995,1420.0
2003-05-01,49.1,117.6,79.498,72.375,2.7,2.87,585.8,1.532,0.845,19.8576,4900.0,0.876,1.0,0.377,58.0,2.02,2035.0,441.7720000000001,0.845,30.5694,2.2,549.0,1.0,7.621,1.642,5.144,2.963,1.73,1.645,549.0,450.0,1051.521,3950.0,549.0,1.37,94.98,447.50139999999993,549.0,549.0,711.8,8.265,2860.8,557.152,549.0,414.0,394.64,549.0,6.37,1.0,0.845,0.496,25.922,6.272,176.95,27.0,1.0,18010.0,5.96,1.0,549.0,13.55,440.8759999999999,13.218,8.59,0.845,1.86,0.845,3.8884,0.845,4.9362,549.0,27.0,2.148,0.845,1.6822000000000004,8525.0,0.845,210.91000000000005,2.7,7.905,1980.0,549.0,195.41,37.25,17.18,7.798,210.96,71.68,46.88,8200.0,5297.0,1184.4842,0.845,0.8175999999999999,4.385,0.845,1365.382,549.0,60.45,118.69,443.2894,0.708,150.2,72.4,1205.9,0.299,44.5,10550.0,440.8759999999999,0.559,1501.0,8.041,49.0,1.6186,440.8759999999999,2.917,0.845,40.4862,445.5416,52.0,1603.162,6100.0,91.2,3.8,549.0,0.845,0.365,1.0,0.845,0.845,268.22,26.85,10.32,1.0,14.0,1129.0,0.845,9.207,23641.0,32.1568,8.041,76.3,0.845,1.354,1.78,1.732,14.89,549.0,129.5,6.657,0.385,57.7,441.0,1.0,3.546,6250.0,3.49,53.1,3.723,0.845,152.76600000000002,3.639,1.0,32190.0,3.5138,47.19,528.13,9192.7031,3.75,549.0,88.8416,5.618,2285.0,1.729,34.801,0.845,0.845,196.96,5.045,8.041,442.5328,30.684,0.845,120.5,97.21,2.7,260.45,2750.0,8.041,7.724,1.291,51.5,34.59,3.1,496.4713999999999,1035.0,41.66,441.0,549.0,2.142,6.05,1.252,1424000.0,1.8364,5250.0,3.1059999999999994,1991.01,5.318,3.673,0.608,27.9,1000.0,121.03,1600.0,15469.0,2.907,183.0,56.69,4730.0,445.2772000000001,2201.0
