country,unit,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3
AFGHANISTAN,AFGHANI,78400,73000,71500,38200,35000,36807,38600,39000,40.3,49.1,49.25,48.17,49.87,57.69,45.67,45.21,45.21,45.21,45.21,50.3,50.3,50.3,50.3,50.3,50.3,50.3,49.53,49.8,49.3,46.13,46.78,47.01,47.3,49.52,48.93,47.92,47.8,46.63,45.13,44.5,44.5,46,47,48.2,48.7,49.5,50.5,51.8,53.18,56,57,56,56.6,57.39,57.05,57.9,57.34,60.26,63.8,67.9,68.45,68.22,65.35
ALBANIA,LEK,142.4,149,142,136.3,139.81,143.8,139.4,132.88,129.86,117.6,113.5,105.6,106.2,104.4,103.2,96.7,95.63,100.18,100.18,103.62,102.89,95.62,95.63,93.45,92.15,92.15,90.5,82.02,82.45,86.95,95.29,101.33,102.4,93.15,91.95,95.43,102.45,110.83,107.83,106.36,100.7,97.5,103.92,105.37,104.9,111.8,107.9,105.65,109.07,107.8,104.55,101.7,101.25,102.62,110.64,115.1,130.25,125.03,123.99,125.54,121.35,123.16,122.77
ALGERIA,DINAR,76.539,78.101,76.429,78.078,78.319,80.207,79.969,81.045,80.86,79.498,77.767,70.185,71.487,71.575,72.607,73.037,73.037,72.294,73.258,73.258,72.366,72.366,71.49,69.78,69.78,69.78,67.47,65.85,65.85,65.85,65.85,69.874,72,71.552,72.14,70.333,71.583,73.067,75.29,73.15,72.5,71.51,73.675,75.036,73.502,76.54,79.112,77.813,78.9,79.58,81.33,78.025,77.49,79.098,82.95,87.81,97.38,98.592,105.739,106.878,108.301,109.866,109.35
ANGOLA,KWANZA,19.706,19.706,20.389,30.044,34.32,40.236,46.178,53.307,62.552,72.375,79.311,77.714,79.97,81.54,85.127,86.236,86.913,88.877,88.973,80.708,80.708,80.097,80.097,80.097,75,75,75,75,75,75,75,75,75,75,75,75,90,90,90,90,90,95,95,95,95,95,95,95,95,95,95,95,95,98,98,104,104,120,145,145,160,170,170
ANTIGUA-BARBUDA,E. CARIBBEAN DOLLAR,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
ARGENTINA,PESO,1,1,1,1,2.08,3.55,3.62,3.35,3.19,2.87,2.91,2.955,2.845,2.958,3.002,2.942,2.928,2.885,2.91,3.025,3.072,3.082,3.096,3.058,3.078,3.078,3.156,3.142,3.155,3.107,3.432,3.453,3.556,3.792,3.853,3.798,3.875,3.929,3.941,3.98,4.03,4.1,4.2,4.288,4.372,4.47,4.69,4.91,5.12,5.38,5.79,6.518,7.88,8.131,8.48,8.373,8.81,9.085,9.42,12.946,14.593,14.951,15.35
ARMENIA,DRAM,550,554.68,557,565,566,584,560,590,590,585.8,580,563,563,549,517,495,473.77,452,485,456,456,427,395,362,347,347,336,303,306,307,302,365,370,360,375,375,395,365,370,360,365,370,370,380,385,406,406,406,415,410,410,404,410,410,410,470,470,475,475,484,480,480,474
AUSTRALIA,DOLLAR,1.903,1.979,1.894,1.955,1.935,1.766,1.816,1.775,1.646,1.532,1.469,1.36,1.312,1.399,1.414,1.296,1.259,1.321,1.331,1.363,1.349,1.324,1.318,1.263,1.208,1.208,1.081,1.129,1.067,1.233,1.499,1.561,1.236,1.232,1.184,1.111,1.091,1.169,1.008,1.04,0.98,0.93,1.029,0.984,0.96,1.03,0.957,0.964,0.96,1.08,1.07,1.12,1.12,1.064,1.15,1.219,1.315,1.302,1.423,1.368,1.298,1.344,1.313
AUSTRIA,EURO,1.083,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
AUSTRIA,SCHILLING,14.908,16.256,15.14,15.442,15.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
